Front,Back,Tag
"List price of Copilot Business?","$19 / user / month (includes $19 in AI Credits — 1,900 credits pooled)",portfolio
"List price of Copilot Enterprise?","$39 / user / month (includes $39 in AI Credits — 3,900 credits pooled)",portfolio
"List price of GHEC?","$21 / user / month (includes 50,000 Actions minutes + 50 GB Packages)",portfolio
"List price of GHAS Bundled?","$49 / active committer / month",portfolio
"List price of Code Security standalone?","$30 / active committer / month",portfolio
"List price of Secret Protection standalone?","$19 / active committer / month",portfolio
"When does Code Quality GA?","July 20, 2026 (Public Preview now)",portfolio
"What is an 'active committer'?","Anyone who pushed to a GHAS-enabled repo in the last 90 days",portfolio
"Two Copilot features that are FREE (don't consume AI Credits)?","Code completion and Next Edit suggestions",portfolio
"1 AI Credit = how much USD?","$0.01 — so $10 budget = 1,000 credits",portfolio
"One-line pitch for GHEC?","The GitHub platform: repos + Actions + Packages + AppSec + Copilot, native, one auth, one audit, one bill",portfolio
"What add-ons are available with GHEC?","Copilot (Business/Enterprise), GHAS (Bundled/standalone), Codespaces, Advanced Security, Premium Support",portfolio
"Copilot Individual price?","$10 / month or $100 / year (for individual devs — not the enterprise SKU)",portfolio
"Copilot Free tier features?","Yes — 2,000 code completions/mo, 50 chat messages/mo, limited model choice. Great funnel to paid.",portfolio
"What does 'per active user' mean for Copilot billing?","GitHub only bills users who actually USED Copilot that month — not just assigned. Reduces waste.",portfolio
"What burns AI Credits?","Chat, agent mode, CCR, Coding Agent, premium models",copilot-business
"Which AI models does Copilot support?","Claude Sonnet, GPT-5, Gemini, o3-mini — model choice built in with a picker",copilot-business
"Customer says 'our devs use ChatGPT / Cursor.' Your follow-up?","That's shadow IT — code and prompts leaving your control. Copilot Business = same experience with enterprise policy, content exclusions, and audit. $19/seat with $19 AI Credits included.",copilot-business
"3 governance features unmanaged AI tools lack?","Content exclusions · Org policy · Audit log · Telemetry · Public code filter · SAML/SCIM",copilot-business
"Where do you point customers for productivity metrics?","Copilot Metrics API — drops into any dashboard. Peer benchmark: 20-40% faster cycle time within 90 days.",copilot-business
"What IDEs does Copilot support?","VS Code, Visual Studio, JetBrains (IntelliJ, PyCharm, etc.), Neovim, Xcode, Eclipse, Azure Data Studio",copilot-business
"What CLIs does Copilot support?","GitHub CLI (gh copilot), Copilot CLI (standalone terminal agent), Windows Terminal",copilot-business
"What is Copilot in the CLI?","Explains, suggests, and runs shell commands from natural language. `gh copilot suggest 'find all files modified today'`",copilot-business
"What is the Copilot public code filter?","Optional org setting that blocks suggestions matching public code (150+ char match). Reduces IP contamination risk.",copilot-business
"How does Copilot handle customer code (training)?","GitHub does NOT use enterprise customer code to train foundation models. Zero data retention on prompts.",copilot-business
"What is Copilot Extensions?","Third-party AI agents (Docker, Sentry, Datadog, etc.) accessible via @mentions in chat. Extends Copilot into other tools.",copilot-business
"Disco Q: 'How are your devs using AI today?'","Signal: 'ChatGPT/Cursor/free Copilot unmanaged.' Response: shadow IT risk — Copilot gives same UX with enterprise policy + audit.",copilot-business
"Disco Q: 'What % of code is AI-generated?'","Signal: '>20% / no idea.' Response: governance matters now — Copilot logs, content exclusions, pairs with CCR.",copilot-business
"Disco Q: 'How do you measure dev productivity?'","Signal: DORA / cycle time / PR throughput. Response: Copilot Metrics API drops into your dashboard. 20-40% faster cycle time in 90 days.",copilot-business
"Disco Q: 'Have you had a security incident with AI tools?'","Signal: yes. Response: content exclusions + audit + no training on your code = the enterprise-grade Copilot Business gives you.",copilot-business
"Name 4 Enterprise-only features (not in Business)?","Knowledge bases · PR summaries · Custom / fine-tuned models · Full cost centers",copilot-enterprise
"Customer needs chargeback by BU. Which SKU + feature?","Copilot Enterprise + cost centers (separate Azure sub IDs for real billing separation)",copilot-enterprise
"Customer says 'docs are scattered across Confluence.' Pitch?","Knowledge bases — Enterprise-only. Copilot indexes their docs and answers cite THEIR content. #1 differentiator.",copilot-enterprise
"Rule of thumb — over how many seats does Enterprise become the right call?","~500 seats — Business gets fragile, cost centers + PR summaries pay for the $20 delta",copilot-enterprise
"4 upsell triggers from Business to Enterprise?","1) Chargeback need 2) Scattered internal docs 3) Over 500 seats 4) Wants fine-tuning",copilot-enterprise
"What are Copilot Knowledge Bases?","Enterprise-only. Index Markdown files across repos so Copilot answers cite YOUR docs (auth, standards, runbooks) with source links.",copilot-enterprise
"What are Copilot cost centers?","Enterprise-only. Group orgs or users, apply separate budgets, bill to different Azure sub IDs. Real chargeback.",copilot-enterprise
"What are Copilot PR summaries?","Enterprise-only. Auto-generated PR descriptions — 'what changed, why, files touched' — so reviewers get context fast.",copilot-enterprise
"Disco Q: 'How much time do reviewers spend understanding what a PR does?'","Signal: too much. Response: Enterprise PR summaries — one paragraph, reviewer dives in already oriented.",copilot-enterprise
"Disco Q: 'Do you want to fine-tune on your codebase?'","Signal: yes. Response: Enterprise only. Domain accuracy jumps significantly. Pilot on one repo first.",copilot-enterprise
"Is CCR a separate SKU?","No — included with every paid Copilot tier",ccr
"When does Agentic CCR GA?","February 5, 2026",ccr
"Where does CCR run?","GitHub.com, Visual Studio, and VS Code",ccr
